Country,1990,1995,2000,2005,2010,2011,2012,2013,2014,2015
Afghanistan,161,163.9,165.2,146.2,117.4,108.7,100,91.3,82.7,74
Albania,16.3,18.7,19.3,19.2,18.6,19.2,19.8,20.4,21.1,21.7
Algeria,33.1,24.3,14.9,9.7,9.7,9.9,10.1,10.3,10.4,10.6
Angola,230.6,227.4,217.4,206.2,188.4,183.6,178.7,173.9,169.1,164.3
AntiguaandBarbuda,59.6,66.1,68.7,62.8,55.5,53.3,51.2,49.1,46.9,44.8
Argentina,73.4,73.2,69.8,65,60.6,61.2,61.9,62.5,63.2,63.8
Armenia,65,80.1,49.9,33.8,28,27,26,25,24,23
Australia,21.1,20.9,19.5,16.9,17.1,16.5,15.9,15.3,14.7,14.1
Austria,21.4,20.4,14.8,13.3,11.1,10.3,9.5,8.7,7.9,7.1
Azerbaijan,23.7,37.5,41.4,34.3,48.1,50.4,52.8,55.1,57.4,59.8
Bahamas,69.8,69.6,61.9,44,39.4,37.5,35.5,33.5,31.6,29.6
Bahrain,32.5,22.3,18.3,16.9,14.7,14.4,14.2,14,13.7,13.5
Bangladesh,169.7,143.5,121.6,106.2,93.6,91.5,89.4,87.2,85.1,83
Barbados,49.9,57.9,52,49.1,47.9,46.4,45,43.6,42.1,40.7
Belarus,39.6,44.2,33,24.3,22.1,21.3,20.5,19.7,19,18.2
Belgium,11.4,10.8,10.2,10.9,10.4,10,9.5,9.1,8.7,8.2
Belize,131.6,121.7,106.3,91.2,76.2,74.1,72.1,70,68,65.9
Benin,123.1,126.8,122.8,115.7,105.1,100.7,96.3,92,87.6,83.2
Bhutan,111.3,102.4,92,70.1,49.2,43.6,38.1,32.5,27,21.4
Bolivia(PlurinationalStateof),96.1,91.2,93,87.9,81.9,79.7,77.4,75.2,73,70.8
BosniaandHerzegovina,37.8,24.8,24.4,17.4,15.8,14.4,12.9,11.5,10.1,8.6
Botswana,127.2,85.3,72.3,60.4,49.2,45.8,42.4,39.1,35.7,32.3
Brazil,80.6,80,83.6,80.9,70.9,70.1,69.3,68.6,67.8,67
BruneiDarussalam,38,44.1,28.8,23.6,23.8,23.2,22.7,22.1,21.5,21
Bulgaria,75.8,66.7,48.2,40.9,42.9,41.9,40.8,39.8,38.8,37.7
BurkinaFaso,150.2,144.8,142.6,137.1,129.7,125.4,121.2,117,112.8,108.5
Burundi,50.1,49,47.4,36.6,33.5,32.5,31.4,30.4,29.3,28.3
CaboVerde,109,109,105.8,93.5,85.6,83.2,80.7,78.3,75.9,73.4
Cambodia,88.1,66.8,51.5,48.2,47,47.9,48.8,49.8,50.7,51.6
Cameroon,191.5,177.7,162.6,151.1,130.7,125.5,120.3,115.1,109.8,104.6
Canada,23.2,25.1,20.1,14.4,13.9,13.1,12.3,11.4,10.6,9.8
CentralAfricanRepublic,156.3,143.4,134.4,122.5,106.6,103.7,100.7,97.8,94.9,91.9
Chad,218.1,218.1,216.4,209.7,181.9,172.2,162.5,152.8,143.1,133.5
Chile,65.6,63.6,60.8,54.5,52.7,51.7,50.7,49.8,48.8,47.8
China,23.7,17.2,9.7,8.1,7.9,7.7,7.6,7.5,7.4,7.3
Colombia,75.7,82.7,83.3,86.3,63.7,61,58.3,55.6,52.9,50.2
Comoros,119.6,108.2,98.9,92.2,79.5,77.3,75,72.8,70.6,68.3
Congo,133.8,130.5,133.1,137.2,129.2,126.9,124.6,122.3,120,117.7
Congo(DemocraticRepublicofthe),138.1,133.3,130.2,130.7,130.1,128.6,127.1,125.6,124.1,122.6
CostaRica,95.3,91.8,83.2,69.8,64.5,62.9,61.3,59.7,58.1,56.5
Croatia,34.9,20.7,19.1,15.2,14.6,13.6,12.6,11.6,10.6,9.5
Cuba,85.7,69.2,69.4,50.6,49.3,48.5,47.8,47.1,46.4,45.6
Cyprus,34.6,24.3,13.1,7.2,6.6,6.2,5.9,5.6,5.3,5
CzechRepublic,50.5,41.1,16.6,11.4,11.1,10.9,10.6,10.4,10.1,9.9
Cªted'Ivoire,168,148.1,138.3,137.4,137.5,137.1,136.7,136.3,135.9,135.5
Denmark,9.2,8.9,8,6.6,5.9,5.5,5.1,4.8,4.4,4
Djibouti,50,45.5,36.4,30.9,26.4,25.4,24.4,23.5,22.5,21.5
DominicanRepublic,110.2,114.3,111,109.6,108.7,106.5,104.4,102.2,100,97.9
Ecuador,88.7,85.5,84.3,82.5,83,81.6,80.2,78.7,77.3,75.9
Egypt,86.1,79.9,57.2,52.5,48.7,49.3,50,50.6,51.2,51.9
ElSalvador,108.2,98.7,91.1,85.3,76.7,74.4,72.1,69.8,67.5,65.2
EquatorialGuinea,134.4,134.4,133.9,128.8,122.9,120,117.2,114.3,111.5,108.7
Eritrea,113.4,108.2,97.9,82.4,76.1,71.7,67.4,63,58.7,54.3
Estonia,44.5,47.1,30.4,23.5,22.6,20.7,18.8,16.9,15,13.1
Ethiopia,119.3,117.7,117.5,105.2,83.6,78.5,73.5,68.4,63.4,58.4
Fiji,63.3,62.9,45.5,41.2,45.2,45.2,45.1,45,44.9,44.8
Finland,12.7,11.4,9.5,10.6,9.2,8.7,8.1,7.6,7.1,6.5
France,13.7,11,9.8,10.8,10,9.8,9.6,9.4,9.1,8.9
Gabon,199.1,181.4,161.3,138.5,123.7,119,114.2,109.5,104.7,99.9
Gambia,179.2,153.2,133.6,117.2,116,115.4,114.8,114.2,113.6,113
Georgia,76.1,68.9,60.5,48.4,50.8,48.6,46.3,44.1,41.9,39.7
Germany,17,15.9,13.1,12.4,9.8,9.2,8.5,7.9,7.3,6.7
Ghana,118,103.9,87.1,77.4,71,70.1,69.3,68.5,67.6,66.8
Greece,29.1,17.3,11.6,10.5,11.7,10.8,10,9.1,8.3,7.5
Grenada,99.2,83.5,61.5,51.2,42.4,40,37.7,35.3,32.9,30.5
Guatemala,126.8,120.6,113.8,104.2,93.2,90.7,88.2,85.7,83.2,80.7
Guinea,181.3,180.3,174.4,165.3,155.4,152.4,149.5,146.5,143.6,140.6
Guinea-Bissau,132.1,138.3,134.4,127.3,122.3,115.8,109.2,102.6,96,89.5
Guyana,94.6,99.1,94.5,100.2,94.1,92.9,91.6,90.4,89.2,88
Haiti,78.3,69.9,61.8,52.5,46.4,45,43.6,42.1,40.7,39.3
Honduras,133.5,126.5,115.8,100,84.1,80.2,76.4,72.6,68.8,65
"HongKong,China(SAR)",6,7,5,3.8,3.1,3.1,3.1,3.1,3.2,3.2
Hungary,46.6,36.5,25.6,21,19.6,19.3,18.9,18.6,18.3,18
Iceland,30.9,25.5,23.5,17.2,14.3,12.7,11,9.4,7.7,6.1
India,106,94,76.8,60.2,44.6,40.6,36.5,32.5,28.5,24.5
