Country,1995,2000,2005,2010,2011,2012,2013,2014,2015
Afghanistan,,,0.739,0.724,0.713,0.701,0.689,0.676,0.667
Albania,,0.381,0.332,0.273,0.279,0.281,0.272,0.267,0.267
Algeria,0.68,0.627,0.561,0.523,0.514,0.432,0.429,0.429,0.429
Argentina,0.431,0.422,0.374,0.37,0.367,0.366,0.364,0.364,
Armenia,0.471,0.467,0.406,0.344,0.338,0.317,0.308,0.299,0.293
Australia,0.18,0.16,0.139,0.138,0.133,0.131,0.124,0.123,0.12
Austria,0.187,0.151,0.118,0.111,0.105,0.1,0.087,0.083,0.078
Azerbaijan,,,0.324,0.317,0.319,0.319,0.324,0.33,0.326
Bahamas,,0.385,0.358,0.383,0.381,0.377,0.372,0.37,0.362
Bahrain,,,0.331,0.241,0.225,0.225,0.22,0.224,0.233
Bangladesh,0.656,0.63,0.591,0.559,0.549,0.542,0.535,0.527,0.52
Barbados,0.372,0.356,0.345,0.321,0.313,0.307,0.294,0.291,0.291
Belarus,,,,0.151,0.148,0.151,0.148,0.146,0.144
Belgium,0.163,0.122,0.104,0.093,0.09,0.087,0.084,0.076,0.073
Belize,0.515,0.481,0.464,0.423,0.411,0.394,0.384,0.378,0.375
Benin,0.682,0.678,0.656,0.621,0.627,0.621,0.615,0.609,0.613
Bhutan,,,,,,0.487,0.524,0.496,0.477
Bolivia(PlurinationalStateof),,0.591,0.559,0.503,0.498,0.492,0.486,0.451,0.446
BosniaandHerzegovina,,,,0.239,0.21,0.199,0.186,,0.158
Botswana,0.551,0.521,0.523,0.496,0.486,0.478,0.465,0.445,0.435
Brazil,0.509,0.503,0.469,0.454,0.448,0.448,0.431,0.42,0.414
Bulgaria,0.373,0.336,0.251,0.232,0.229,0.214,0.215,0.226,0.223
BurkinaFaso,,,0.636,0.611,0.607,0.602,0.598,,0.615
Burundi,,0.594,0.527,0.502,0.499,0.494,0.489,0.483,0.474
Cambodia,0.66,0.599,0.561,0.492,0.488,0.486,0.485,0.482,0.479
Cameroon,0.703,0.693,0.661,0.623,0.618,0.613,0.577,0.572,0.568
Canada,0.184,,0.132,0.127,0.118,0.113,0.108,0.102,0.098
CentralAfricanRepublic,0.74,0.706,0.684,0.674,0.659,0.656,,,
Chad,,,,,,,,,0.695
Chile,0.476,0.434,0.386,0.359,0.352,0.347,0.329,0.325,0.322
China,,0.254,0.228,0.197,0.191,0.184,0.172,0.168,0.164
Colombia,0.538,0.497,0.484,0.437,0.431,0.424,0.423,0.399,0.393
Congo,,0.623,0.625,0.617,0.612,0.609,0.606,0.594,0.592
Congo(DemocraticRepublicofthe),,,0.667,0.677,,0.67,0.667,0.657,0.663
CostaRica,0.463,0.428,0.347,0.327,0.32,0.314,0.308,0.313,0.308
Croatia,0.28,0.206,0.164,0.146,0.142,0.135,0.128,0.12,0.141
Cuba,0.428,0.393,0.343,0.328,0.322,0.317,0.311,0.307,0.304
Cyprus,0.347,0.258,0.14,0.134,0.14,0.138,0.135,0.12,0.116
CzechRepublic,0.252,,0.153,0.135,0.132,0.131,0.135,0.134,0.129
CÈted'Ivoire,0.709,,0.691,0.683,0.673,0.674,0.671,0.672,0.672
Denmark,0.102,0.076,,0.056,0.051,0.048,0.044,0.043,0.041
DominicanRepublic,0.571,0.485,0.469,0.467,0.493,0.447,0.483,0.476,0.47
Ecuador,0.589,0.491,0.454,0.421,0.424,0.418,0.405,0.394,0.391
Egypt,0.665,0.634,0.581,,,0.575,,,
ElSalvador,0.526,0.518,0.486,0.438,0.437,0.413,0.406,0.397,0.384
Estonia,0.386,0.284,0.214,0.168,0.171,0.162,0.155,0.154,0.131
Ethiopia,,,0.611,0.576,0.568,0.56,0.546,0.531,0.499
Fiji,0.499,,0.409,,,,,0.369,0.358
Finland,0.103,0.085,0.088,0.077,0.072,0.068,0.064,0.06,0.056
France,0.22,0.192,0.156,0.125,0.123,0.108,0.107,0.103,0.102
Gabon,0.606,0.595,0.574,0.558,0.556,0.552,0.549,0.547,0.542
Gambia,0.747,0.739,0.647,0.662,0.659,0.657,0.654,0.642,0.641
Georgia,0.426,0.422,0.388,0.42,0.416,0.375,0.369,0.363,0.361
Germany,0.156,0.13,0.117,0.097,0.092,0.087,0.077,0.073,0.066
Ghana,0.626,,0.573,0.57,0.567,,0.549,0.548,0.547
Greece,0.283,0.221,0.179,0.159,0.148,0.134,0.128,0.121,0.119
Guatemala,0.596,0.599,0.57,0.54,0.531,0.523,0.522,0.503,0.494
Guyana,,0.54,0.527,0.522,0.518,0.515,0.512,0.509,0.508
Haiti,,,0.579,,0.597,0.603,0.6,0.597,0.593
Honduras,,0.547,0.515,0.513,0.504,0.495,,0.466,0.461
Hungary,0.322,0.288,0.26,0.255,0.261,0.259,0.259,0.249,0.252
Iceland,0.184,0.149,0.125,0.099,0.095,0.085,0.076,0.065,0.051
India,0.687,,0.619,0.591,0.582,0.573,0.561,0.544,0.53
Indonesia,0.578,0.564,0.533,0.486,0.481,0.476,0.472,0.472,0.467
Iran(IslamicRepublicof),0.665,0.601,0.512,0.529,0.527,0.517,0.516,0.514,0.509
Iraq,0.658,0.62,,0.536,0.534,0.532,0.529,0.528,0.525
Ireland,0.202,0.201,0.192,0.171,0.155,0.149,0.14,0.135,0.127
Israel,0.244,0.197,0.173,0.149,0.141,0.136,0.124,0.118,0.103
Italy,0.198,0.178,0.175,0.124,0.12,0.116,0.09,0.085,0.085
Jamaica,0.48,0.469,0.466,0.455,0.443,0.439,0.435,0.426,0.422
Japan,0.159,0.135,0.148,0.12,0.119,0.127,0.127,0.124,0.116
Jordan,0.674,0.632,0.557,0.488,0.489,0.487,0.484,0.48,0.478
Kazakhstan,0.449,0.405,0.36,0.267,0.254,0.226,0.215,0.203,0.202
Kenya,0.708,0.696,0.654,0.616,0.613,0.61,0.573,0.569,0.565
Korea(Republicof),0.277,0.191,0.107,0.099,0.093,0.083,0.076,0.071,0.067
Kuwait,0.585,0.585,0.374,0.236,0.234,0.247,0.243,0.34,0.335
Kyrgyzstan,0.51,0.476,0.677,0.365,0.372,0.373,0.378,0.38,0.394
LaoPeople'sDemocraticRepublic,,0.577,0.542,0.51,0.501,0.493,0.484,0.475,0.468
Latvia,0.41,0.276,0.217,0.208,0.204,0.188,0.184,0.195,0.191
Lebanon,,,,0.404,0.398,0.393,0.387,0.386,0.381
Lesotho,0.577,0.595,0.585,0.569,0.563,0.556,0.553,0.549,0.549
Liberia,,0.689,0.676,0.661,0.668,0.66,0.654,0.649,0.649
Libya,,,0.268,0.215,,0.166,0.166,0.169,0.167
Lithuania,0.325,0.281,0.185,0.168,0.169,0.141,0.135,0.128,0.121
Luxembourg,0.2,0.175,0.156,0.132,0.112,0.114,0.088,0.081,0.075
Malawi,0.719,0.692,0.655,0.616,0.609,0.607,0.605,0.616,0.614
Malaysia,0.398,0.34,0.324,0.308,0.31,0.303,0.293,0.287,0.291
Maldives,0.649,0.541,0.42,0.383,0.369,0.353,0.335,0.328,0.312
Mali,0.726,0.725,0.723,0.677,0.681,0.682,,0.686,0.689
Malta,0.331,0.321,0.309,0.277,0.274,0.263,0.216,0.213,0.217
Mauritania,0.809,0.756,,0.656,0.652,0.647,,0.63,0.627
Mauritius,0.479,0.452,0.369,0.382,0.37,0.369,0.361,0.355,0.38
Mexico,0.508,0.493,0.431,0.401,0.393,0.369,0.364,0.355,0.345
Moldova(Republicof),0.486,0.425,0.292,0.286,0.257,0.255,0.247,0.25,0.232
Mongolia,0.5,0.45,0.41,0.406,0.397,0.3,0.292,0.283,0.278
Montenegro,,,,0.218,0.203,0.175,0.174,0.163,0.156
Morocco,0.713,0.696,0.58,0.563,0.53,0.527,0.522,0.517,0.494
Mozambique,0.664,0.645,0.638,0.617,0.607,0.596,0.587,,0.574
Myanmar,,,,0.459,0.476,0.446,0.443,0.443,0.374
Namibia,0.555,0.546,0.525,0.512,0.51,0.506,0.501,,0.474
Nepal,0.71,0.67,0.653,0.537,0.528,0.518,,0.506,0.497
Netherlands,0.113,0.096,0.082,0.054,0.05,0.049,0.047,0.044,0.044
NewZealand,0.222,0.19,0.188,0.186,0.179,0.175,0.171,0.165,0.158
Nicaragua,0.629,0.602,0.541,0.52,0.477,0.479,0.474,0.466,0.462
Niger,0.831,0.818,0.73,,0.712,0.707,0.702,0.698,0.695
Norway,0.122,0.109,0.085,0.075,0.071,0.067,0.062,0.057,0.053
Oman,,,0.387,0.323,0.311,0.302,0.294,0.284,0.281
Pakistan,0.766,,0.595,0.57,0.569,0.556,0.555,0.55,0.546
Panama,0.517,0.507,0.472,0.515,0.517,0.512,0.507,0.458,0.457
PapuaNewGuinea,0.668,0.663,0.682,0.667,0.662,0.605,0.602,0.597,0.595
Paraguay,0.575,0.557,0.537,0.501,0.499,0.491,0.469,0.468,0.464
Peru,0.547,,0.456,0.406,0.412,0.4,0.394,0.389,0.385
Philippines,0.483,0.479,0.467,0.449,,,0.437,0.436,0.436
Poland,0.258,0.205,0.164,0.17,0.155,0.152,0.15,0.146,0.137
Portugal,0.243,0.208,0.182,0.141,0.128,0.127,0.11,0.103,0.091
Qatar,,,,0.579,0.554,0.556,0.552,0.546,0.542
Romania,0.474,,0.355,0.358,0.355,0.343,0.344,0.342,0.339
RussianFederation,0.467,0.423,0.359,0.315,0.308,0.296,0.29,0.286,0.271
Rwanda,0.583,0.552,0.484,0.444,0.433,0.422,0.405,0.394,0.383
SaintLucia,,,,,,,0.37,0.367,0.354
Samoa,,0.496,0.493,0.456,0.491,0.485,0.478,0.445,0.439
SaoTomeandPrincipe,,,,0.533,0.531,0.53,0.529,0.527,0.524
SaudiArabia,,,0.672,0.633,0.623,0.619,0.267,0.262,0.257
Senegal,0.628,0.632,0.629,0.575,0.567,0.539,0.532,0.525,0.521
Serbia,,,,0.22,0.217,0.189,0.19,0.187,0.185
SierraLeone,,0.695,0.669,0.665,0.662,0.66,0.656,0.653,0.65
Singapore,0.252,0.272,0.167,0.099,0.102,0.091,0.082,0.069,0.068
Slovakia,0.248,0.219,0.189,0.194,0.192,0.182,0.18,0.18,0.18
Slovenia,0.247,,0.139,0.124,0.073,0.067,0.064,0.057,0.053
SouthAfrica,0.424,0.419,0.426,0.423,0.419,0.415,0.406,0.4,0.394
Spain,0.157,0.119,0.118,0.113,0.106,0.1,0.095,0.087,0.081
SriLanka,0.471,,0.445,0.409,0.394,0.391,0.382,0.385,0.386
Sudan,0.72,,0.665,0.622,0.616,0.609,0.602,0.595,0.575
Suriname,,,0.492,0.514,0.498,0.495,0.496,0.493,0.448
Swaziland,0.652,0.661,0.619,0.572,0.565,0.559,0.576,0.57,0.566
Sweden,0.09,0.062,0.053,0.051,0.049,0.049,0.048,0.047,0.048
Switzerland,0.117,0.094,0.073,0.062,0.06,0.056,0.049,0.045,0.04
SyrianArabRepublic,0.569,0.55,0.54,0.539,0.542,0.547,0.551,0.553,0.554
Tajikistan,0.558,0.41,0.345,0.33,0.328,0.323,0.321,0.324,0.322
Tanzania(UnitedRepublicof),0.652,,0.592,,0.558,0.556,0.553,0.548,0.544
Thailand,0.4,0.397,0.348,0.319,0.307,0.309,0.307,0.369,0.366
TheformerYugoslavRepublicofMacedonia,,,,,,,,,0.16
Togo,0.741,0.665,0.633,0.598,0.589,0.586,0.567,0.557,0.556
Tonga,0.684,0.671,0.476,0.673,0.472,0.47,0.465,0.662,0.659
TrinidadandTobago,0.426,,0.353,0.353,0.349,0.346,0.343,0.341,0.324
Tunisia,0.532,0.427,0.336,0.309,0.301,0.297,0.299,0.288,0.289
Turkey,0.631,0.589,0.564,0.426,0.381,0.365,0.351,0.34,0.328
Turkmenistan,0.369,,,,,,,,
Uganda,0.65,0.643,0.592,0.564,0.552,0.545,0.537,0.529,0.522
Ukraine,0.482,0.384,0.37,0.334,0.329,0.316,0.308,0.29,0.284
UnitedArabEmirates,0.643,0.609,0.591,0.231,0.246,0.247,0.247,0.247,0.232
UnitedKingdom,0.237,0.215,0.206,0.184,0.174,0.168,0.159,0.149,0.131
UnitedStates,0.305,,0.264,0.254,0.248,0.235,0.227,0.214,0.203
Uruguay,0.44,0.389,0.373,0.327,0.326,0.32,0.32,0.317,0.284
Uzbekistan,,,,,,,0.279,0.279,0.287
Venezuela(BolivarianRepublicof),0.547,,0.47,0.469,0.468,0.466,0.466,0.463,0.461
VietNam,0.383,0.347,0.317,0.324,0.328,0.331,0.333,0.334,0.337
Yemen,,0.814,0.791,0.779,0.772,0.767,0.762,0.757,0.767
Zambia,0.625,0.626,0.593,0.553,0.556,0.55,0.544,0.541,0.526
Zimbabwe,0.598,0.631,0.589,0.581,0.575,0.569,0.532,0.535,0.54
