Country,1990,1995,2000,2005,2010,2011,2012,2013,2014,2015
Afghanistan,2.3,3.5,4.5,6.3,5.9,6.6,7.3,8,8.8,8.8
Albania,59.5,60.6,71,75.4,80.8,81.8,85.2,87.7,90.2,90.2
Algeria,10.4,14.5,18.6,20.9,26.7,28.5,30.4,32.3,34.1,34.1
Andorra,,,25.5,43.4,60.8,63.6,66.4,69.2,72,72
Argentina,36.3,41.2,46.1,56.1,56.3,58.1,59.9,61.7,63.5,63.5
Armenia,85,87.3,90,92.4,95.5,96.1,96.9,97.7,98.5,98.5
Australia,89.8,87.9,87.8,90.3,93.4,93.7,94.3,91.1,91.4,91.4
Austria,49,53.9,77,100,100,100,100,100,98.7,98.7
Azerbaijan,,,90,90,93.8,93.8,93.8,93.8,93.8,93.8
Bahamas,,,91.2,89.8,88.5,88.2,87.9,87.6,87.4,87.4
Bahrain,45.5,51.8,56.6,56.5,56.7,57.9,59.1,60.4,61.6,61.6
Bangladesh,12.3,16.7,22,25.6,34.1,36,38,40,42,42
Barbados,64.6,76.3,78.6,87.5,89.5,90.4,91.3,92.1,93,93
Belarus,,,,,87,87,87,87,87,87
Belgium,60.9,67.5,74.5,74.1,77.1,77.5,77.7,79.4,80.1,80.1
Belize,21.1,35.3,49.5,65.1,76.4,76.8,77.1,77.5,77.9,77.9
Benin,4.5,6.7,8.4,9.5,11.3,12.4,13.5,14.6,15.8,15.8
Bhutan,,,,,,,5.8,5.8,5.8,5.8
Bolivia(PlurinationalStateof),37,39.3,38.2,37.5,42.9,44.2,45.5,47.6,49.6,49.6
BosniaandHerzegovina,,,,,44.8,44.9,53.1,61.3,69.5,69.5
Botswana,41,52.8,60.9,67.9,73.6,76.5,79.4,82.2,85.1,85.1
Brazil,20.6,26.5,33.7,44.6,51.9,54.6,55.8,57.2,59.1,59.1
Bruneiarussalam,51,59.4,61.6,60.7,63.9,64.8,65.8,66.7,67.7,67.7
Bulgaria,49.1,65.3,81.5,88.2,91.7,92.4,93,93,93.1,93.1
BurkinaFaso,,,,5,5.5,5.6,5.8,5.9,6,6
Burundi,1.8,2.4,3.1,4,5.3,5.7,6.2,6.6,7.1,7.1
Cambodia,4.6,5.3,6.1,8.2,9.9,10.7,11.5,12.3,13.2,13.2
Cameroon,8.7,12,15.6,21,26.4,27.7,29,30.3,31.7,31.7
Canada,83.3,85.7,88.2,99.8,100,100,100,100,100,100
CentralAfricanRepublic,4,5.8,7.4,8.8,10.1,10.7,11.2,11.8,12.3,12.3
Chad,,,,,,,,,,1.7
Chile,49,53.8,65.6,75.4,73.3,70.7,72.2,73.7,76.1,76.1
China,28.5,35.5,43.4,51,58.7,61.4,64.2,67,69.8,69.8
Colombia,31,37,38,40.9,45,56.9,57.8,58,50.3,50.3
Congo,22,31.1,39.6,40.1,39.7,41,42.3,43.7,45,45
Congo(DemocraticRepublicofthe),5.2,10,11,11.9,12.8,13.2,13.6,14.1,14.5,14.5
CostaRica,33.2,37.9,42,47.9,49.1,50.1,50.7,52.6,54.5,54.5
Croatia,42.3,55.2,68.6,76.9,83.6,85,87.3,89.7,92,92
Cuba,51.9,60.8,65.8,69.8,76.5,77.8,79.1,81.5,83.9,83.9
Cyprus,45.4,53.4,59.1,65.8,72.2,73.2,76,77,77,77
CzechRepublic,58.4,83.2,99.1,99.8,99.8,99.8,99.9,99.8,99.8,99.8
Cªte'Ivoire,5.5,7.3,9.4,11.8,14,14.7,15.3,15.9,16.6,16.6
Denmark,58,67.1,87.3,,96.1,96.5,95.5,99.7,89.1,89.1
DominicanRepublic,25.9,31.4,30.9,39.8,53.3,54.7,55.6,56.5,57.2,57.2
Ecuador,33.3,36.7,37.4,38.6,40.1,42.6,45.1,47.6,48.2,48.2
Egypt,15.4,21.1,28.3,35.2,43.9,46.5,49.2,51.9,54.5,54.5
ElSalvador,15.1,20,26.7,34.2,39,36,36.8,38,39.4,39.4
Estonia,58.5,74.7,85.9,96,100,100,100,100,100,100
Ethiopia,,,,3.3,7,7.8,8.7,9.7,10.8,10.8
Fiji,30.3,44.4,48.6,55,64.3,66.6,69,71.5,73.9,73.9
Finland,65.9,86.2,94.6,100,100,100,100,100,100,100
France,44.4,57.1,67.6,71.3,76.4,77.2,78,78.7,79.7,79.7
Gabon,29.8,36,42.7,48.8,53.9,56,58.1,60.2,62.3,62.3
Gambia,5.5,8.5,9.7,13.2,17.4,19.4,21.3,23.3,25.3,25.3
Georgia,83.9,86.2,88.7,91.2,93.7,94.2,94.7,95.4,96.1,96.1
Germany,47.7,60.6,70.3,96.5,96,96.3,96.3,96.2,96.4,96.4
Ghana,26.7,32.2,36.8,40.3,45.2,46.9,48.5,50.2,51.8,51.8
Greece,34.9,41.9,48.5,53.9,59.5,60.6,61.6,62.6,63.7,63.7
Guatemala,11.9,13.7,15.5,13.3,18.3,19.8,21.2,22.7,37.4,37.4
Guyana,32.5,40.6,51.4,55.9,60.3,62.3,64.2,66.2,68.1,68.1
Haiti,10.8,13.5,16.6,19.7,22.4,23.2,24,24.9,25.7,25.7
Honduras,18.6,21.8,23.8,26.3,28,28.2,28,30.7,33.4,33.4
"HongKong,China(SAR)",47.9,55.4,61.1,66.4,70.8,72.2,75.1,78,80.9,80.9
Hungary,34.8,65,83.8,88,97.4,97.8,97.9,98,95.6,95.6
Iceland,46.5,52.2,71.6,91,98,100,100,100,100,100
India,13.4,15,23.5,21.8,27,29.1,31.2,33.3,35.3,35.3
Indonesia,13.8,17.4,26.1,34.8,38.6,39.9,40.9,41.9,42.9,42.9
Iran(IslamicRepublicof),26,34.7,47.9,58.5,60,60.9,61.8,64.9,66.8,66.8
Iraq,12.8,17.5,21.2,25.2,27.8,29.8,31.8,33.8,35.8,35.8
Ireland,59.6,66.9,72.9,74.8,79.4,80.5,82.6,84.7,86.8,86.8
Israel,66.7,70.1,71.4,72.6,83.1,84,84.4,87,87.3,87.3
Italy,44.1,52.2,59.3,63.5,69.1,70.2,71.2,75.2,79.1,79.1
Jamaica,27.2,39.9,51.1,55.5,59.7,61.5,63.4,65.2,67.1,67.1
Japan,63.4,71.2,77.2,81.6,87,88.5,90,91.5,93,93
Jordan,20.8,31.4,36.8,50.1,69.5,71.7,74,76.2,78.5,78.5
Kazakhstan,59.8,70.4,81.5,94.2,96.9,97.6,98.3,99,99.7,99.7
Kenya,8.4,11.3,15.1,22,25.3,26,26.6,27.2,27.8,27.8
Korea(Republicof),57.6,64.3,69.6,74.1,77.1,80,82.9,85.9,88.8,88.8
Kuwait,41.9,42.6,46.6,46.4,54.7,55.1,55.6,55.8,56.8,56.8
Kyrgyzstan,71.1,79.3,87.3,91.3,96.5,97.4,98.3,99.1,100,100
LaoPeople'semocraticRepublic,6,9.8,14,18.3,22.9,24.8,26.6,28.5,30.4,30.4
