Country,1995,1997,2000,2005,2010,2011,2012,2013,2014,2015
Afghanistan,,,,25.9,27.6,27.6,27.6,27.6,27.6,27.4
Albania,,,5.2,7.1,16.4,15.7,15.7,17.9,20,20.7
Algeria,3.2,3.2,4,5.3,7,7.2,25.8,25.8,25.7,25.7
Andorra,7.1,7.1,7.1,28.6,35.7,50,50,50,50,39.3
Angola,9.5,9.5,15.5,15,38.6,38.2,34.1,34.1,36.8,36.8
AntiguaandBarbuda,11.1,11.1,8.3,13.9,19.4,19.4,19.4,19.4,21.2,25.7
Argentina,22.8,22.8,21.3,37.4,37.8,37.7,37.7,37.1,37.1,37.1
Armenia,6.3,6.3,3.1,5.3,9.2,8.4,10.7,10.7,10.7,10.7
Australia,20.5,20.5,25,28.3,28.3,29.2,29.2,31.1,30.1,30.5
Austria,24.7,24.7,25.1,32.2,28.3,28.7,28.7,32.2,31.4,30.3
Azerbaijan,12,12,,13,16,16,16,15.6,15.6,16.9
Bahamas,19.6,19.6,19.6,26.8,17.9,17.9,16.7,16.7,16.7,16.7
Bahrain,,,,7.5,15,18.8,18.8,18.8,17.5,15
Bangladesh,9.1,9.1,9.1,14.8,18.6,19.7,19.7,19.7,19.8,20
Barbados,18.4,18.4,20.4,17.6,19.6,19.6,19.6,21.6,21.6,19.6
Belarus,,,,29.8,32.1,32.1,29.5,29.5,29.5,29.2
Belgium,15.8,15.8,24.9,35.7,38.9,38.9,38.9,38.9,42.4,42.4
Belize,10.8,10.8,13.5,11.9,11.1,11.1,13.3,13.3,13.3,13.3
Benin,7.2,7.2,6,7.2,10.8,8.4,8.4,8.4,8.4,7.2
Bhutan,2,2,9.3,9.3,13.9,13.9,13.9,6.9,8.3,8.3
Bolivia(PlurinationalStateof),,,10.2,14.7,30.1,30.1,30.1,30.1,51.8,51.8
BosniaandHerzegovina,,,,12.3,15.8,19.3,19.3,19.3,19.3,19.3
Botswana,8.5,8.5,17,11.1,7.9,7.9,7.9,7.9,9.5,9.5
Brazil,6.7,6.7,5.9,9.1,9.6,9.6,9.6,9.6,10.4,10.8
Bulgaria,10.8,10.8,10.8,22.1,20.8,20.8,22.9,24.6,20,20.4
BurkinaFaso,10.8,10.8,10.5,11.7,15.3,15.3,15.7,15.7,15.7,9.4
Burundi,,,14.4,31.7,36.1,34.9,34.9,34.9,34.9,37.8
CaboVerde,11.1,11.1,11.1,11.1,18.1,20.8,20.8,20.8,20.8,20.8
Cambodia,5.8,5.8,9.3,10.9,19,18.5,18.5,18.5,18.5,19
Cameroon,5.6,5.6,5.6,8.9,13.9,13.9,13.9,27.1,27.1,27.1
Canada,21.2,21.2,,24.7,24.9,27.7,28,28,28.5,28.3
CentralAfricanRepublic,3.5,3.5,7.3,10.5,9.6,12.5,12.5,12.5,12.5,12.5
Chad,2.4,2.4,2.4,6.5,5.2,12.8,14.9,14.9,14.9,14.9
Chile,7.2,7.2,8.9,11.9,13.9,13.9,13.9,16.5,16.5,15.8
China,,,21.8,20.3,21.3,21.3,21.3,23.4,23.4,23.6
Colombia,9.8,9.8,12.2,10.9,13.8,13.6,13.6,13.6,20.9,20.9
Comoros,0.1,0.1,,3,3,3,3,3,3,3
